year,month,year_month,chirps_raw_mm,gsmap_raw_mm,era5_t2m_c,era5_tdew_c,era5_rh_pct,era5_ws_ms,era5_sp_hpa,ndvi_mean
2023,4,2023_04,438.0,128.97,25.22,22.97,87.38,1.16,989.98,0.671
2023,5,2023_05,175.66,125.57,25.08,22.79,87.14,1.32,988.66,0.7682
2023,6,2023_06,80.19,113.82,24.79,22.3,86.06,1.69,991.61,0.7079
2023,7,2023_07,93.48,111.28,23.49,20.93,85.54,1.96,992.85,0.7016
2023,8,2023_08,44.58,5.85,23.7,20.45,82.07,2.03,990.38,0.6508
2023,9,2023_09,13.59,0.49,24.26,20.96,81.91,1.97,990.48,0.6092
2023,10,2023_10,49.14,4.99,25.95,21.76,77.69,1.8,992.88,0.5376
2023,11,2023_11,317.22,253.58,24.95,22.65,87.1,1.24,988.5,0.4768
2023,12,2023_12,240.47,152.39,26.0,22.39,80.49,1.32,991.16,0.622
2024,1,2024_01,378.39,345.43,25.53,23.4,88.0,1.24,991.02,0.6541
2024,2,2024_02,270.24,251.43,25.88,23.52,86.89,1.11,991.69,0.7548
2024,3,2024_03,344.54,305.3,25.86,23.65,87.59,1.41,990.61,0.7269
2024,4,2024_04,406.42,251.17,26.14,24.07,88.42,1.14,989.7,0.7096
2024,5,2024_05,75.7,28.9,25.61,23.33,87.22,1.52,990.53,0.6775
2024,6,2024_06,107.43,194.42,25.19,22.84,86.82,1.5,991.64,0.7322
2024,7,2024_07,74.01,24.59,24.27,21.35,83.77,1.88,991.96,0.7522
2024,8,2024_08,62.34,23.71,24.17,20.64,80.67,2.11,992.74,0.6103
2024,9,2024_09,88.0,83.9,24.94,21.76,82.57,1.73,991.46,0.5843
2024,10,2024_10,184.58,178.4,25.58,22.31,82.16,1.7,991.68,0.6457
2024,11,2024_11,554.85,372.05,25.64,23.39,87.36,1.02,989.7,0.5534
2024,12,2024_12,490.59,349.16,25.45,23.25,87.63,1.24,988.85,0.5362
2025,1,2025_01,430.99,298.78,25.22,22.9,87.01,1.26,989.14,0.6884
2025,2,2025_02,354.29,226.02,25.5,22.87,85.38,1.23,990.07,0.7516
2025,3,2025_03,424.25,213.57,25.54,23.18,86.81,1.16,989.45,0.7145
2025,4,2025_04,141.43,186.53,25.28,22.88,86.58,1.09,990.62,0.678
2025,5,2025_05,448.86,408.79,25.31,23.31,88.73,1.08,989.91,0.7394
2025,6,2025_06,107.89,249.97,24.92,22.63,87.14,1.42,991.44,0.7846
2025,7,2025_07,146.3,38.96,23.95,21.41,85.77,1.83,991.61,0.7217
2025,8,2025_08,392.8,227.87,24.27,21.97,87.02,1.61,992.02,0.676
2025,9,2025_09,164.68,281.25,24.54,22.22,86.92,1.65,992.02,0.6702
2025,10,2025_10,375.61,458.49,24.94,22.77,87.77,1.25,991.05,0.5784
2025,11,2025_11,316.54,431.33,24.78,22.63,87.81,1.19,990.29,0.5866
2025,12,2025_12,231.07,296.76,25.26,22.84,86.49,1.3,989.38,0.6937
